"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Gm32036";1,52254259183807e-05;7,16811859638326;0,013;0;0,284867718932903;"P21";"Gm32036"
"Ppfibp2";1,52254259183815e-05;7,65026691403685;0,013;0;0,284867718932918;"P21";"Ppfibp2"
"Tmem132d";1,53311560735038e-05;2,23643975774584;0,041;0,008;0,286845930135256;"P21";"Tmem132d"
"Cfap54";1,56577183815136e-05;1,12722736822192;0,129;0,061;0,29295591091812;"P21";"Cfap54"
"Abhd18";1,5755773480454e-05;1,00942444414461;0,151;0,077;0,294790521819295;"P21";"Abhd18"
"Sun1";1,60367739887291e-05;0,724596672266839;0,2;0,115;0,300048041329121;"P21";"Sun1"
"Gm2464.1";1,61579877542164e-05;2,11948731606536;0,05;0,012;0,302315950881389;"P21";"Gm2464.1"
"Zfp398";1,65600009045084e-05;1,2006188087055;0,106;0,045;0,309837616923353;"P21";"Zfp398"
"Pwwp2a";1,67498183794464e-05;1,06217142037875;0,147;0,074;0,313389101879443;"P21";"Pwwp2a"
"Mysm1";1,68434617186245e-05;0,785370220534321;0,239;0,146;0,315141168755464;"P21";"Mysm1"
"Miat";1,68718321487442e-05;0,192293830120275;0,825;0,723;0,315671979503004;"P21";"Miat"
"Cdk10";1,76034221398591e-05;0,879155397373743;0,207;0,12;0,329360028236764;"P21";"Cdk10"
"Tigd2";1,76439325285166e-05;1,28359315066402;0,073;0,025;0,330117977608545;"P21";"Tigd2"
"Plekha7";1,76938675728371e-05;0,817040983493773;0,127;0,062;0,331052262287783;"P21";"Plekha7"
"Rnh1";1,84305891891955e-05;3,05834407110101;0,034;0,006;0,344836323729848;"P21";"Rnh1"
"Tbc1d2";1,99206470119251e-05;1,50171531066232;0,05;0,013;0,372715305593119;"P21";"Tbc1d2"
"D130040H23Rik";2,05180362328669e-05;1,13496827483939;0,095;0,039;0,38389245791694;"P21";"D130040H23Rik"
"Plcb1";2,05819824643294e-05;0,748060515812784;0,302;0,202;0,385088891907603;"P21";"Plcb1"
"1110008P14Rik";2,058699962389e-05;0,385435458024661;0,181;0,108;0,385182762962981;"P21";"1110008P14Rik"
"Zfp644";2,06142567689646e-05;0,765939779531679;0,25;0,156;0,385692744147328;"P21";"Zfp644"
"Nktr";2,08454666587513e-05;0,369532167239321;0,61;0,497;0,390018681185236;"P21";"Nktr"
"Spry2";2,20402422920877e-05;1,85818929581413;0,054;0,015;0,412372933284961;"P21";"Spry2"
"Mtif2";2,21077307186785e-05;1,38695984202074;0,095;0,039;0,413635641746474;"P21";"Mtif2"
"Prkab2";2,32613996241804e-05;0,757942710100407;0,226;0,137;0,435220786968415;"P21";"Prkab2"
"Gabrd";2,33318812938863e-05;0,9102971671924;0,073;0,027;0,436539499008612;"P21";"Gabrd"
"Zfp219";2,35435671354347e-05;1,66663525298498;0,06;0,018;0,440500141103983;"P21";"Zfp219"
"Slc35a3";2,39016937052254e-05;1,64302007353927;0,041;0,009;0,447200689224767;"P21";"Slc35a3"
"Cmya5";2,59049889334077e-05;2,00796268503774;0,041;0,009;0,484682342944058;"P21";"Cmya5"
"Arhgef2";2,5945245523882e-05;0,678713812445692;0,259;0,164;0,485435543751832;"P21";"Arhgef2"
"Gm15520";2,59505118889419e-05;2,53560220806581;0,039;0,008;0,485534077442102;"P21";"Gm15520"
"C2cd3";2,59818011237551e-05;2,41475974655704;0,047;0,012;0,486119499025458;"P21";"C2cd3"
"Samd15";2,72726208607258e-05;2,36573804763261;0,045;0,011;0,510270736304181;"P21";"Samd15"
"Hsph1";2,73041673536921e-05;0,604543949013479;0,17;0,097;0,51086097118758;"P21";"Hsph1"
"Mettl7a1";2,76017067717737e-05;2,49165268737436;0,041;0,009;0,516427933699886;"P21";"Mettl7a1"
"Slc1a1";2,79016909570133e-05;0,729392989417988;0,168;0,093;0,522040637805719;"P21";"Slc1a1"
"Srsf11";2,9453000813409e-05;0,483622384721798;0,442;0,33;0,551065645218883;"P21";"Srsf11"
"P4ha1";2,94789272699476e-05;1,18395552539659;0,119;0,055;0,55155072922072;"P21";"P4ha1"
"Lynx1";2,9718820546201e-05;0,604264362029082;0,284;0,187;0,55603913241942;"P21";"Lynx1"
"Fgf9";3,0095327292424e-05;1,18393606022579;0,069;0,024;0,563083573641253;"P21";"Fgf9"
"Bsdc1";3,02928581350621e-05;1,39038853921706;0,071;0,025;0,566779375707011;"P21";"Bsdc1"
"Srek1";3,15751207982895e-05;0,622098504672908;0,293;0,194;0,590770510135996;"P21";"Srek1"
"Hbb-bt";3,17834773887672e-05;6,58138091726525;0,017;0,001;0,594668861943835;"P21";"Hbb-bt"
"Exd2";3,19397560091846e-05;0,796823257339794;0,149;0,079;0,597592834931844;"P21";"Exd2"
"Man2b1";3,2050763776913e-05;1,403641363606;0,103;0,045;0,599669790266043;"P21";"Man2b1"
"Tnrc6a";3,25546237353887e-05;0,587700138267907;0,373;0,266;0,609097010089123;"P21";"Tnrc6a"
"Fam107a";3,29920099788864e-05;4,78009274620976;0,017;0,001;0,617280506704964;"P21";"Fam107a"
"Ankrd31";3,30102213018711e-05;4,83288434968663;0,017;0,001;0,617621240558008;"P21";"Ankrd31"
"Ptges3l";3,37348536423712e-05;3,6264730830728;0,022;0,002;0,631179111648766;"P21";"Ptges3l"
"Kazald1";3,3778703262459e-05;4,1532677957597;0,022;0,002;0,631999538040607;"P21";"Kazald1"
"Igfbp4";3,38286943203021e-05;1,42871951471479;0,084;0,033;0,632934870732853;"P21";"Igfbp4"
"Coq9";3,45266910997592e-05;0,990315375650885;0,106;0,047;0,645994390476495;"P21";"Coq9"
"Scn2b";3,48039388526615e-05;1,19556957743038;0,108;0,048;0,651181695933297;"P21";"Scn2b"
"Hbb-bs";3,48889381093834e-05;2,05712158026545;0,034;0,006;0,652772032026564;"P21";"Hbb-bs"
"Cyp4f16";3,49082924359013e-05;3,06578799302128;0,028;0,004;0,653134151475713;"P21";"Cyp4f16"
"Zfhx2";3,49633828195766e-05;1,09780366953453;0,147;0,076;0,654164892554278;"P21";"Zfhx2"
"Wsb1";3,51357165608652e-05;0,494286198905027;0,302;0,203;0,657389256853788;"P21";"Wsb1"
"Myo6";3,62038652797955e-05;1,74848837362204;0,065;0,021;0,677374319384974;"P21";"Myo6"
"Dnhd1";3,68746264492205e-05;2,32516255876786;0,034;0,006;0,689924260864915;"P21";"Dnhd1"
"Csrnp1";3,69132253053236e-05;3,45312133392377;0,019;0,001;0,690646445462604;"P21";"Csrnp1"
"Fam78a";3,7477660632747e-05;4,10026285616788;0,019;0,001;0,701207030438696;"P21";"Fam78a"
"Hr";3,78724190465312e-05;1,45658412489668;0,056;0,017;0,708592960360598;"P21";"Hr"
"Rchy1";3,87061532978325e-05;1,36354036201775;0,119;0,057;0,724192128202446;"P21";"Rchy1"
"Lekr1";3,91038544295331e-05;1,0511810292082;0,131;0,065;0,731633116376565;"P21";"Lekr1"
"Prdx6";3,97420514959466e-05;1,39400278886654;0,11;0,051;0,743573783489161;"P21";"Prdx6"
"Strn4";4,0507465069327e-05;0,872699184762694;0,185;0,106;0,757894671447107;"P21";"Strn4"
"Asap1";4,06784375332368e-05;0,689840981640462;0,256;0,164;0,76109356624686;"P21";"Asap1"
"Preb";4,14497812452387e-05;0,667896124085977;0,175;0,099;0,775525407098417;"P21";"Preb"
"Arhgap17";4,16495272681308e-05;1,4840998212977;0,091;0,037;0,779262655186727;"P21";"Arhgap17"
"Chrna4";4,36237760550697e-05;1,89826903348514;0,041;0,009;0,816200849990354;"P21";"Chrna4"
"Tbce";4,49851664028012e-05;0,916402960210373;0,162;0,088;0,84167246339641;"P21";"Tbce"
"Ensa";4,54850783204304e-05;0,94289476558334;0,183;0,106;0,851025815375253;"P21";"Ensa"
"B3galt5";4,55029905656571e-05;2,49011449474159;0,041;0,009;0,851360953483444;"P21";"B3galt5"
"Sun2";4,55993859057211e-05;2,23890731424918;0,039;0,008;0,853164510296042;"P21";"Sun2"
"Gaa";4,62496731791648e-05;1,33653898166554;0,095;0,04;0,865331385182174;"P21";"Gaa"
"Tial1";4,64212810835962e-05;0,702327989718847;0,241;0,152;0,868542169074086;"P21";"Tial1"
"Pls1";4,65328060982761e-05;2,32020400492277;0,03;0,005;0,870628802098746;"P21";"Pls1"
"Tmem25";4,67997268651751e-05;1,03560015436069;0,099;0,044;0,875622889647427;"P21";"Tmem25"
"Kcnj6";4,79589729270103e-05;1,43282920514583;0,086;0,035;0,897312383464362;"P21";"Kcnj6"
"Clip4";4,86072075510877e-05;0,897516780492831;0,127;0,063;0,909440853280851;"P21";"Clip4"
"Mkl2";4,89665134695311e-05;0,841905591670864;0,19;0,11;0,916163467014927;"P21";"Mkl2"
"Abhd3";4,91865603066884e-05;2,54091864728481;0,026;0,003;0,920280543338139;"P21";"Abhd3"
"Brpf1";4,9271513747856e-05;1,21870461021516;0,086;0,035;0,921870022222386;"P21";"Brpf1"
"Cdadc1";4,94434440254139e-05;1,1578385638099;0,129;0,064;0,925086837715494;"P21";"Cdadc1"
"Krt222";4,9597874697366e-05;1,96654755225202;0,054;0,016;0,927976235587718;"P21";"Krt222"
"Etl4";4,98240336935273e-05;3,4461382657546;0,026;0,003;0,932207670405896;"P21";"Etl4"
"Fuk";5,03632633687849e-05;1,5167904721197;0,058;0,018;0,942296657629965;"P21";"Fuk"
"Tab1";5,30796720117718e-05;1,63486190411308;0,075;0,028;0,99312066334025;"P21";"Tab1"
"Prrt1";5,36560512701146e-05;0,542716742293573;0,235;0,149;1;"P21";"Prrt1"
"Wdr12";5,42888428747983e-05;1,11315401550579;0,11;0,051;1;"P21";"Wdr12"
"Cxxc4";5,59043989629775e-05;0,676722441337158;0,235;0,147;1;"P21";"Cxxc4"
"Mtmr12";5,5991153920627e-05;1,78464193458822;0,058;0,018;1;"P21";"Mtmr12"
"Tsnax";5,61713631467378e-05;0,86013130674748;0,153;0,082;1;"P21";"Tsnax"
"Stk19";5,6545365585404e-05;0,856737499784921;0,157;0,086;1;"P21";"Stk19"
"Ago4";5,78835962336793e-05;0,832066514004718;0,097;0,044;1;"P21";"Ago4"
"Gm12689";5,83616233048569e-05;2,06981687083855;0,032;0,006;1;"P21";"Gm12689"
"Dmxl1";5,8782006062324e-05;0,679658788853444;0,203;0,121;1;"P21";"Dmxl1"
"Zfp777";6,05547261933731e-05;2,10495354256757;0,05;0,014;1;"P21";"Zfp777"
"Nrsn1";6,05801474383762e-05;0,85676789093387;0,157;0,086;1;"P21";"Nrsn1"
"Hook3";6,09601306952494e-05;0,503136060828077;0,312;0,214;1;"P21";"Hook3"
"Gm27200";6,100463809793e-05;2,31707022784254;0,032;0,006;1;"P21";"Gm27200"
"Atxn7";6,64664157990465e-05;1,04647053980862;0,14;0,073;1;"P21";"Atxn7"
"Sfxn5";6,70742524830785e-05;1,09517153261654;0,112;0,053;1;"P21";"Sfxn5"
"Fuom";7,1001485453769e-05;1,97787611538824;0,045;0,012;1;"P21";"Fuom"
"Dgkg";7,1743134873742e-05;1,44589048818349;0,075;0,029;1;"P21";"Dgkg"
"Nt5dc3";7,17846578010379e-05;1,49571602444935;0,075;0,029;1;"P21";"Nt5dc3"
"Gm14443";7,29946780911238e-05;2,30895733692197;0,028;0,004;1;"P21";"Gm14443"
"Clcc1";7,46177253167789e-05;1,85754743364928;0,041;0,01;1;"P21";"Clcc1"
"Zfp445";7,50712902410235e-05;0,600610477027383;0,373;0,272;1;"P21";"Zfp445"
"Lrrfip1";7,62294342661135e-05;0,683065239529857;0,233;0,147;1;"P21";"Lrrfip1"
"Fbxo8";7,71127829169041e-05;1,7169446364358;0,052;0,015;1;"P21";"Fbxo8"
"Pex13";7,97605523049816e-05;1,68484511944048;0,05;0,014;1;"P21";"Pex13"
"Slc36a1";8,02152938674009e-05;1,05850451512001;0,11;0,052;1;"P21";"Slc36a1"
"Gsdme";8,03397503115423e-05;0,808853722870998;0,131;0,068;1;"P21";"Gsdme"
"4632415L05Rik";8,20746676704916e-05;0,836400997413786;0,091;0,041;1;"P21";"4632415L05Rik"
"Mtm1";8,21175734427032e-05;1,31407152083846;0,069;0,025;1;"P21";"Mtm1"
"Acsl5";8,26463815053385e-05;1,08786841202869;0,084;0,035;1;"P21";"Acsl5"
"Sidt1";8,3234784177435e-05;0,786034023571196;0,177;0,102;1;"P21";"Sidt1"
"Jaml";8,67816234260848e-05;7,62773304344816;0,011;0;1;"P21";"Jaml"
"Dusp16";8,67816234261109e-05;7,7511275088198;0,011;0;1;"P21";"Dusp16"
"Sh3tc2";8,6781623426125e-05;7,06126759276715;0,011;0;1;"P21";"Sh3tc2"
"Mobp";8,67816234261282e-05;7,25621775063997;0,011;0;1;"P21";"Mobp"
"Trpv6";8,67816234261302e-05;7,27557070170472;0,011;0;1;"P21";"Trpv6"
"Spag6";8,67816234261416e-05;6,65193319696223;0,011;0;1;"P21";"Spag6"
"Gm10097";8,67816234261495e-05;6,87374263651193;0,011;0;1;"P21";"Gm10097"
"AC163018.1";8,67816234261586e-05;6,7104167099581;0,011;0;1;"P21";"AC163018.1"
"Rock1";8,95696748286838e-05;0,691521613106938;0,194;0,116;1;"P21";"Rock1"
"Camkk1";8,96227240231886e-05;1,16705994173305;0,095;0,042;1;"P21";"Camkk1"
"Sirt3";9,02477822774666e-05;0,933866517116039;0,114;0,056;1;"P21";"Sirt3"
"Ppib";9,0502162817094e-05;0,558869525320772;0,334;0,236;1;"P21";"Ppib"
"Inppl1";9,55820734813336e-05;2,20095974047041;0,03;0,005;1;"P21";"Inppl1"
"Miga2";9,62934491601096e-05;1,12060592143166;0,106;0,049;1;"P21";"Miga2"
"B3galnt2";9,64172973839969e-05;1,32691683729644;0,084;0,035;1;"P21";"B3galnt2"
"Ints10";9,88527569427857e-05;0,773806606435563;0,211;0,13;1;"P21";"Ints10"
"Tub";9,91166525938931e-05;0,575747869854043;0,237;0,153;1;"P21";"Tub"
"Arhgef7";0,000101999602917784;0,703204809774917;0,244;0,157;1;"P21";"Arhgef7"
"Fbxo32";0,000102374132342605;1,84318254474642;0,026;0,004;1;"P21";"Fbxo32"
"Reep3";0,000102853474884261;0,974150137116202;0,086;0,037;1;"P21";"Reep3"
"Ahcyl2";0,000103179724709823;0,816990033609521;0,166;0,094;1;"P21";"Ahcyl2"
"Zdhhc21";0,000103360675794468;0,792659434341075;0,149;0,081;1;"P21";"Zdhhc21"
"Psmd11";0,000103626829997816;0,728608301604718;0,144;0,079;1;"P21";"Psmd11"
"Gm43597";0,000107414942411183;1,50755099444337;0,08;0,032;1;"P21";"Gm43597"
"Mtcl1";0,000110356277173302;0,591576554944625;0,188;0,114;1;"P21";"Mtcl1"
"Fbxo33";0,000113098916387066;1,0069754827245;0,112;0,054;1;"P21";"Fbxo33"
"Atg13";0,000113614153250569;1,21775347372098;0,082;0,034;1;"P21";"Atg13"
"C230057M02Rik";0,000115317782328595;1,2995540250568;0,095;0,042;1;"P21";"C230057M02Rik"
"Slc9a1";0,000117086291519211;1,36395286087567;0,065;0,023;1;"P21";"Slc9a1"
"Plekhm3";0,000117533324964623;1,43104316893103;0,06;0,021;1;"P21";"Plekhm3"
"Ubn2";0,000118374579045404;0,650333080648174;0,295;0,202;1;"P21";"Ubn2"
"Dpf1";0,000121822193122844;0,563046918946515;0,166;0,098;1;"P21";"Dpf1"
"Ints13";0,000123129723381518;1,4427504367514;0,084;0,035;1;"P21";"Ints13"
"Zfp871";0,000123225022435485;0,703954876594932;0,129;0,068;1;"P21";"Zfp871"
"Parm1";0,00012418807135564;0,883645417719167;0,151;0,083;1;"P21";"Parm1"
"Sec14l2";0,000124533569086518;2,3615866294041;0,034;0,007;1;"P21";"Sec14l2"
"Mical3";0,000124676797856321;0,576701450075881;0,338;0,241;1;"P21";"Mical3"
"Ash1l";0,000125745037362076;0,690147246358847;0,295;0,204;1;"P21";"Ash1l"
"Trip11";0,000126553431353682;0,608414336752571;0,159;0,093;1;"P21";"Trip11"
"Rprd1a";0,000127325612476403;0,856044772171437;0,153;0,085;1;"P21";"Rprd1a"
"Nr1d2";0,000128008374228778;1,07095340076213;0,091;0,04;1;"P21";"Nr1d2"
"Unc5a";0,000128486521759717;0,635977599274639;0,14;0,077;1;"P21";"Unc5a"
"Il34";0,000131245555192478;1,51790822126935;0,082;0,034;1;"P21";"Il34"
"Srpk2";0,000131704822243017;0,614269934240391;0,293;0,201;1;"P21";"Srpk2"
"Pcdh9";0,000132423712807396;0,459555015370688;0,284;0,196;1;"P21";"Pcdh9"
"Nfyc";0,000132507801371506;1,48850719671529;0,071;0,027;1;"P21";"Nfyc"
"Rcan2";0,00013340285205903;1,8359384743533;0,05;0,015;1;"P21";"Rcan2"
"Nup93";0,000135740257989072;1,11277248148187;0,078;0,032;1;"P21";"Nup93"
"Wdr78";0,000136036745772818;1,34936184615403;0,058;0,02;1;"P21";"Wdr78"
"Srsf1";0,000136259457352847;0,393277918735762;0,205;0,133;1;"P21";"Srsf1"
"Gm47359";0,000136278241634044;4,33204710085473;0,019;0,002;1;"P21";"Gm47359"
"4732463B04Rik";0,000136970686363316;3,50357373868904;0,019;0,002;1;"P21";"4732463B04Rik"
"Skap1";0,000137488814144953;3,58130165369729;0,019;0,002;1;"P21";"Skap1"
"Mbnl1";0,000137520420113904;0,788038289081692;0,127;0,066;1;"P21";"Mbnl1"
"Gpr3";0,000137862773285105;4,09284289738668;0,019;0,002;1;"P21";"Gpr3"
"Dcp1a";0,000142725924596904;1,36903873209311;0,058;0,02;1;"P21";"Dcp1a"
"Chrm3";0,000142989128088021;1,66036449309185;0,062;0,022;1;"P21";"Chrm3"
"Atp6v0e";0,00014631057990792;0,955102938337566;0,095;0,043;1;"P21";"Atp6v0e"
"Shkbp1";0,000146466320976609;0,504662924973155;0,131;0,074;1;"P21";"Shkbp1"
"Ica1";0,000149959048811373;1,10433715241365;0,101;0,047;1;"P21";"Ica1"
"Gm48914";0,000152708706580401;3,82234115900748;0,015;0,001;1;"P21";"Gm48914"
"Senp5";0,000157062025623547;0,954790309286705;0,138;0,074;1;"P21";"Senp5"
"Cnot4";0,000157087824078068;0,871373719270505;0,181;0,108;1;"P21";"Cnot4"
"Lama4";0,000159060530303012;2,84472409871891;0,028;0,005;1;"P21";"Lama4"
"Dok7";0,000159904057151511;1,43379414572839;0,043;0,012;1;"P21";"Dok7"
"Cgrrf1";0,00016053990661069;3,44662202172992;0,017;0,001;1;"P21";"Cgrrf1"
"Sirt4";0,00016119075223673;1,13420194160655;0,08;0,033;1;"P21";"Sirt4"
"Wwtr1";0,000162160691301709;3,91982538580649;0,017;0,001;1;"P21";"Wwtr1"
"Kdm5a";0,000163557632101076;1,07192312977549;0,134;0,071;1;"P21";"Kdm5a"
"Ryr2";0,00016517867402514;0,592070373987367;0,388;0,295;1;"P21";"Ryr2"
"Nell1";0,000166196541905947;1,90974119231486;0,045;0,013;1;"P21";"Nell1"
"Brap";0,000166613961897101;1,20077094474805;0,103;0,049;1;"P21";"Brap"
"Cyld";0,000173790236908548;0,835621002592286;0,116;0,059;1;"P21";"Cyld"
"Ythdf3";0,00017519817885048;1,24316170322785;0,097;0,045;1;"P21";"Ythdf3"
"Abca7";0,000177139012995067;1,05347597097864;0,075;0,031;1;"P21";"Abca7"
"Gm20219";0,000178128370077462;1,63331496653517;0,032;0,007;1;"P21";"Gm20219"
"Krcc1";0,00017856777474294;2,23314981670746;0,043;0,012;1;"P21";"Krcc1"
"Cyp4f13";0,000179249696065111;2,5183002629629;0,024;0,003;1;"P21";"Cyp4f13"
"Abcc5";0,000179745810707299;0,393890983818655;0,429;0,326;1;"P21";"Abcc5"
"Cntn4";0,000180197788763038;1,10883587751376;0,103;0,049;1;"P21";"Cntn4"
"Timm17a";0,00018083259856279;0,8220885635703;0,144;0,079;1;"P21";"Timm17a"
"Fam222a";0,00018280138696347;2,87345488459011;0,024;0,003;1;"P21";"Fam222a"
"Map3k20";0,000184003533364459;3,16446456088355;0,024;0,003;1;"P21";"Map3k20"
"Nadsyn1";0,000184011651139808;2,86845191659696;0,024;0,003;1;"P21";"Nadsyn1"
"Ttc1";0,000184310478486471;0,958186015675379;0,065;0,025;1;"P21";"Ttc1"
"Rwdd3";0,000188482878823439;1,66868916194661;0,041;0,011;1;"P21";"Rwdd3"
"Usp3";0,000188856365990163;0,926301180005852;0,112;0,056;1;"P21";"Usp3"
"Mknk1";0,00019009259177838;1,32841658727469;0,058;0,02;1;"P21";"Mknk1"
"Lrpprc";0,00019308845345338;0,647313832146884;0,183;0,111;1;"P21";"Lrpprc"
"C030034I22Rik";0,00019617999067065;1,93322865959511;0,041;0,011;1;"P21";"C030034I22Rik"
"Stk38";0,000198293430775789;0,589877868536016;0,207;0,13;1;"P21";"Stk38"
"Crem";0,000201187871711642;2,72462714434374;0,034;0,008;1;"P21";"Crem"
"Tmem80";0,000202255419862395;1,14550477436668;0,086;0,038;1;"P21";"Tmem80"
"Ypel2";0,000206714083068944;2,44499542080836;0,032;0,007;1;"P21";"Ypel2"
"Lrtm1";0,000212849017327166;2,13006751997701;0,037;0,009;1;"P21";"Lrtm1"
"Bcl6";0,000217258707879573;1,14296823811754;0,093;0,042;1;"P21";"Bcl6"
"Azi2";0,000220699522450925;0,702517913310698;0,093;0,044;1;"P21";"Azi2"
"Ctdsp2";0,000226707736147049;0,875793819344726;0,114;0,058;1;"P21";"Ctdsp2"
"Map2k3";0,000237573773215824;1,13815437408742;0,05;0,016;1;"P21";"Map2k3"
"Prpf38b";0,000238595625347247;0,61258535864312;0,211;0,134;1;"P21";"Prpf38b"
"Clasp1";0,000239737811446623;0,655518876187943;0,213;0,136;1;"P21";"Clasp1"
"Tbc1d15";0,000241926807687476;1,49430783929729;0,056;0,019;1;"P21";"Tbc1d15"
"Tldc1";0,000244640450670561;2,34081636876791;0,026;0,004;1;"P21";"Tldc1"
"Junb";0,000246532275970996;1,07315910442879;0,08;0,034;1;"P21";"Junb"
"Snapc3";0,000248830512972278;1,13413084224653;0,112;0,056;1;"P21";"Snapc3"
"Slc24a5";0,000249797184839612;1,3569137964588;0,067;0,026;1;"P21";"Slc24a5"
"Twf2";0,000250013051082963;1,01521068296653;0,101;0,049;1;"P21";"Twf2"
"Erf";0,000250617372644202;0,903275513634336;0,078;0,033;1;"P21";"Erf"
"Gm48855";0,000251047293484376;2,47153597574014;0,026;0,004;1;"P21";"Gm48855"
"Unc5c";0,000252774747172347;0,650452273341136;0,192;0,118;1;"P21";"Unc5c"
"Tnks1bp1";0,000257296113456422;0,818562299504693;0,095;0,046;1;"P21";"Tnks1bp1"
"Atpaf1";0,000259197673041919;1,27788496072624;0,058;0,021;1;"P21";"Atpaf1"
"Arih1";0,000265683487152871;0,936479184077782;0,151;0,086;1;"P21";"Arih1"
"Rbm4b";0,000266686352929209;1,23989592838517;0,078;0,033;1;"P21";"Rbm4b"
"Nrxn3";0,000269747853520184;0,434148716240477;0,545;0,454;1;"P21";"Nrxn3"
"Bbx";0,000271298846840517;1,78494319174521;0,058;0,021;1;"P21";"Bbx"
"Nfic";0,000271330980622788;0,913099233539106;0,114;0,058;1;"P21";"Nfic"
"BC034090";0,000280530041920422;3,56023006241347;0,028;0,005;1;"P21";"BC034090"
"Cpeb4";0,000284523063129634;0,652174006294384;0,188;0,115;1;"P21";"Cpeb4"
"Ino80d";0,000292721578812737;0,83406602130138;0,114;0,059;1;"P21";"Ino80d"
"Pkd2";0,000295170348803937;0,803541770212054;0,106;0,053;1;"P21";"Pkd2"
"Ubr4";0,00029608094909364;0,777380232419384;0,162;0,095;1;"P21";"Ubr4"
"Gm42743";0,000299972554924806;1,86950433598149;0,041;0,011;1;"P21";"Gm42743"
"Acaa1a";0,000301082246943074;0,937966207140239;0,112;0,057;1;"P21";"Acaa1a"
"Igf2bp2";0,000305529620693535;1,39569998660541;0,065;0,025;1;"P21";"Igf2bp2"
"Ephx2";0,000307368430779392;2,57678634673262;0,028;0,005;1;"P21";"Ephx2"
"Capn2";0,000307499821095695;0,761969127137303;0,209;0,134;1;"P21";"Capn2"
"D5Ertd579e";0,00031205634507033;0,627541631266826;0,218;0,141;1;"P21";"D5Ertd579e"
"Slf2";0,000314018278990385;0,570112445299297;0,209;0,135;1;"P21";"Slf2"
"Ncbp3";0,000318187727606799;1,20038536416275;0,099;0,048;1;"P21";"Ncbp3"
"Cep97";0,000318211875311365;1,96525733292688;0,047;0,015;1;"P21";"Cep97"
"Slit2";0,000331834222702355;0,810914753563418;0,209;0,134;1;"P21";"Slit2"
"Elovl7";0,000336511838432673;1,88338398089355;0,032;0,007;1;"P21";"Elovl7"
"Vrk2";0,000337484650843856;2,1051171025199;0,03;0,006;1;"P21";"Vrk2"
"Mllt6";0,000337770075113244;0,551990801988547;0,11;0,058;1;"P21";"Mllt6"
"Stx1b";0,000343811088059234;0,266932936640777;0,2;0,136;1;"P21";"Stx1b"
"Mllt10";0,000343872242973939;0,828724285935061;0,14;0,078;1;"P21";"Mllt10"
"Bicc1";0,000343979706240368;1,99530156750605;0,037;0,009;1;"P21";"Bicc1"
"Slc35f3";0,000344231730603537;2,07473690108204;0,037;0,009;1;"P21";"Slc35f3"
"Rsph10b";0,000351892769643964;1,61128949885122;0,045;0,014;1;"P21";"Rsph10b"
"Mkks";0,000353369398655763;2,28467004047092;0,032;0,007;1;"P21";"Mkks"
"Rabggta";0,000354029580375246;0,680988749810935;0,086;0,041;1;"P21";"Rabggta"
"Nufip2";0,000355691303027244;0,457989170273337;0,179;0,112;1;"P21";"Nufip2"
"Polr2h";0,000362189538047258;0,838120505765211;0,091;0,043;1;"P21";"Polr2h"
"Zcwpw1";0,000362369436571258;1,69616168368557;0,045;0,014;1;"P21";"Zcwpw1"
"Mrs2";0,000367093900105759;1,05425862555953;0,112;0,057;1;"P21";"Mrs2"
"Rundc1";0,000371927684248824;0,633185605341943;0,065;0,027;1;"P21";"Rundc1"
"Wnk1";0,000375438278580924;0,416292733546561;0,315;0,227;1;"P21";"Wnk1"
"Rmnd1";0,000378846170056681;1,02505995651662;0,099;0,048;1;"P21";"Rmnd1"
"Got1";0,000387908854351227;0,898352252504023;0,112;0,058;1;"P21";"Got1"
"Abcb4";0,000391514524841075;2,14159680623776;0,024;0,004;1;"P21";"Abcb4"
"Gm47438";0,000402341138733057;2,86757390563646;0,024;0,004;1;"P21";"Gm47438"
"Pcyt2";0,000406823326923389;0,698646326381957;0,218;0,141;1;"P21";"Pcyt2"
"Ep300";0,000415758019627128;1,00808825670959;0,116;0,061;1;"P21";"Ep300"
"Usp45";0,000422939800549062;1,38562559160509;0,086;0,04;1;"P21";"Usp45"
"Ero1lb";0,000427802614102843;1,45738619507188;0,041;0,012;1;"P21";"Ero1lb"
"Zfp961";0,00043115893530611;1,30030685775562;0,06;0,023;1;"P21";"Zfp961"
"Mfap3";0,000437909221668955;1,04760315760814;0,129;0,072;1;"P21";"Mfap3"
"Bdnf";0,000439801476303042;1,32945415565087;0,056;0,02;1;"P21";"Bdnf"
"Pcmtd1";0,000441932710398749;0,569805653118996;0,248;0,168;1;"P21";"Pcmtd1"
"Zfp955a";0,000451113954119189;1,59409781755113;0,039;0,011;1;"P21";"Zfp955a"
"Jdp2";0,000453343479015561;2,04263788825756;0,041;0,012;1;"P21";"Jdp2"
"Raver2";0,000455251461076098;1,03919849954678;0,101;0,05;1;"P21";"Raver2"
"Klf10";0,000460710793837794;1,4951908299702;0,037;0,01;1;"P21";"Klf10"
"Zscan26";0,00046455543417076;1,04223860459412;0,093;0,044;1;"P21";"Zscan26"
"Lztfl1";0,000470411376214988;0,672005039053479;0,175;0,107;1;"P21";"Lztfl1"
"Dtx3";0,000471763038476255;0,296384687844569;0,233;0,163;1;"P21";"Dtx3"
